Analyzing learn-anything...                                     

   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:158:115 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:192:86 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:192:161 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:200:58 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:226:80 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:226:92 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:226:103 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:228:51 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:232:61 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:232:70 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:234:55 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:244:92 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:244:102 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:258:52 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:260:90 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:260:107 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:260:118 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:260:130 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:274:68 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:274:79 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:304:61 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:320:45 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:322:47 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:334:76 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:334:98 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:336:82 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:336:94 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:336:116 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:338:83 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:338:94 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:338:106 - unnecessary_brace_in_string_interps
   info - Unnecessary braces in a string interpolation - lib\l10n\app_localizations_bn.dart:342:50 - unnecessary_brace_in_string_interps
